datetime,Open,High,Low,Close,Volume,SMA5,SMA50,RSI,RSI_Signal,Position,Entry_Price,PnL,Trade_Id,Capital,Position_Size,Risk_Amount,Daily_Return,Cummax,Drawdown,Date
2025-04-20 11:35:00,84105.0,84136.0,84057.0,84076.0,8.93343715,84085.6,84492.62,33.94230769230769,0,0,0.0,0.0,0,200.0,0.0,0.0,,200.0,0.0,2025-04-20
2025-04-20 11:40:00,84076.0,84093.0,84033.0,84045.0,0.7922928,84061.4,84479.64,31.48854961832062,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 11:45:00,84043.0,84048.0,84004.0,84034.0,6.24535005,84061.2,84465.18,33.46855983772819,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 11:50:00,84027.0,84057.0,84011.0,84055.0,0.23876892,84063.0,84451.4,39.52702702702703,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 11:55:00,84063.0,84125.0,84063.0,84125.0,4.065209100000001,84067.0,84437.4,48.22451317296678,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:00:00,84124.0,84265.0,84124.0,84252.0,13.424917050000001,84102.2,84426.6,63.79511059371362,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:05:00,84252.0,84316.0,84209.0,84261.0,2.71878889,84145.4,84416.0,57.338820301783265,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:10:00,84249.0,84306.0,84241.0,84306.0,0.049158770000000004,84199.8,84407.0,62.90760869565218,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:15:00,84306.0,84307.0,84276.0,84305.0,0.06101749,84249.8,84398.54,61.02418207681365,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:20:00,84305.0,84368.0,84305.0,84368.0,2.7855767499999997,84298.4,84390.64,59.64653902798233,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:25:00,84368.0,84398.0,84334.0,84398.0,1.9754359799999999,84327.6,84384.12,68.18181818181819,0,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:30:00,84398.0,84459.0,84391.0,84459.0,3.7079363899999995,84367.2,84378.94,87.32394366197182,-1,0,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:35:00,84469.0,84479.0,84390.0,84390.0,0.7528484799999999,84384.0,84373.18,77.47603833865816,-1,-1,84390.0,0.0,1,200.0,160.0,4.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:40:00,84389.0,84389.0,84335.0,84368.0,0.5383647899999999,84396.6,84367.6,72.32597623089983,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:45:00,84366.0,84366.0,84320.0,84341.0,0.10147215,84391.2,84360.78,72.57240204429301,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:50:00,84342.0,84344.0,84319.0,84331.0,0.16657913,84377.8,84353.98,75.26501766784452,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:55:00,84330.0,84373.0,84330.0,84370.0,0.06846553,84360.0,84348.48,78.28282828282829,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 13:00:00,84369.0,84388.0,84360.0,84387.0,0.1068932,84359.4,84343.56,78.13559322033899,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 13:05:00,84388.0,84388.0,84317.0,84318.0,9.360251680000001,84349.4,84337.08,66.383701188455,0,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 13:10:00,84318.0,84318.0,84235.0,84238.0,12.798523529999999,84328.8,84329.42,48.708487084870846,0,-1,0.0,1.518062572641666,0,201.51806257264167,0.0,0.0,0.007590312863208437,201.51806257264167,0.0,2025-04-20
