datetime,Open,High,Low,Close,Volume,SMA5,SMA50,SMA5_gt_SMA50,SMA_Signal,Position,Entry_Price,PnL,Trade_Id,Capital,Position_Size,Risk_Amount,Daily_Return,Cummax,Drawdown,Date
2025-04-20 11:35:00,84105.0,84136.0,84057.0,84076.0,8.93343715,84085.6,84492.62,False,-1,0,0.0,0.0,0,200.0,0.0,0.0,,200.0,0.0,2025-04-20
2025-04-20 11:40:00,84076.0,84093.0,84033.0,84045.0,0.7922928,84061.4,84479.64,False,-1,-1,84045.0,0.0,1,200.0,160.0,4.0,0.0,200.0,0.0,2025-04-20
2025-04-20 11:45:00,84043.0,84048.0,84004.0,84034.0,6.24535005,84061.2,84465.18,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 11:50:00,84027.0,84057.0,84011.0,84055.0,0.23876892,84063.0,84451.4,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 11:55:00,84063.0,84125.0,84063.0,84125.0,4.065209100000001,84067.0,84437.4,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:00:00,84124.0,84265.0,84124.0,84252.0,13.424917050000001,84102.2,84426.6,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:05:00,84252.0,84316.0,84209.0,84261.0,2.71878889,84145.4,84416.0,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:10:00,84249.0,84306.0,84241.0,84306.0,0.049158770000000004,84199.8,84407.0,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:15:00,84306.0,84307.0,84276.0,84305.0,0.06101749,84249.8,84398.54,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:20:00,84305.0,84368.0,84305.0,84368.0,2.7855767499999997,84298.4,84390.64,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:25:00,84368.0,84398.0,84334.0,84398.0,1.9754359799999999,84327.6,84384.12,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:30:00,84398.0,84459.0,84391.0,84459.0,3.7079363899999995,84367.2,84378.94,False,-1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:35:00,84469.0,84479.0,84390.0,84390.0,0.7528484799999999,84384.0,84373.18,True,1,-1,0.0,0.0,0,200.0,0.0,0.0,0.0,200.0,0.0,2025-04-20
2025-04-20 12:40:00,84389.0,84389.0,84335.0,84368.0,0.5383647899999999,84396.6,84367.6,True,-1,1,84368.0,-6.149086798738771,3,187.70182640252244,155.08073056100898,3.8770182640252244,-0.06149086798738779,200.0,-6.149086798738779,2025-04-20
2025-04-20 12:45:00,84366.0,84366.0,84320.0,84341.0,0.10147215,84391.2,84360.78,True,-1,-1,84341.0,-0.49629951227328406,5,186.70922737797588,149.76442151219933,3.7441105378049833,-0.00528816923932296,200.0,-6.645386311012061,2025-04-20
2025-04-20 12:50:00,84342.0,84344.0,84319.0,84331.0,0.16657913,84377.8,84353.98,True,-1,-1,0.0,0.0,0,186.70922737797588,0.0,0.0,0.0,200.0,-6.645386311012061,2025-04-20
2025-04-20 12:55:00,84330.0,84373.0,84330.0,84370.0,0.06846553,84360.0,84348.48,True,-1,-1,0.0,0.0,0,186.70922737797588,0.0,0.0,0.0,200.0,-6.645386311012061,2025-04-20
2025-04-20 13:00:00,84369.0,84388.0,84360.0,84387.0,0.1068932,84359.4,84343.56,True,-1,-1,0.0,0.0,0,186.70922737797588,0.0,0.0,0.0,200.0,-6.645386311012061,2025-04-20
